Date,Open,High,Low,Close,Adj Close,Volume,Type of industry
10-02-2011,201.600006,204.899994,200,201.585007,187.412735,11535590,
11-02-2011,199.5,206,199.5,205.929993,191.452225,10103420,
14-02-2011,205.014999,211.020004,205.014999,210.544998,195.742767,5922360,
15-02-2011,211,212.800003,207.529999,210.699997,195.886887,7599730,
16-02-2011,211.399994,212.199997,208.505005,209.485001,194.757294,4550790,
17-02-2011,210,219.399994,209.5,218.559998,203.19429,11804920,
18-02-2011,218.399994,224.309998,216.524994,217.610001,202.311066,19767870,
21-02-2011,216.5,220.800003,213.25,220.169998,204.691101,5600510,
22-02-2011,219,219.169998,212.539993,213.845001,198.810806,5796430,
23-02-2011,212.520004,215.300003,210.020004,211.410004,196.546967,6114220,
24-02-2011,208.699997,211.854996,204.574997,205.910004,191.43364,10027770,
25-02-2011,208.699997,208.699997,201.800003,204.214996,189.857819,6309960,
28-02-2011,206.399994,212.095001,203.5,205.225006,190.796783,10981360,
01-03-2011,207.479996,215,205.899994,213.899994,198.861877,10250580,
03-03-2011,213.490005,222.229996,213.005005,219.315002,203.89621,12668820,
04-03-2011,221,223.289993,220.649994,221.824997,206.229736,9854940,
07-03-2011,220.399994,220.399994,215.089996,217.315002,202.036804,6427840,
08-03-2011,215.800003,221.850006,215.649994,220.649994,205.137344,8985570,
09-03-2011,221,223.869995,219.5,220.604996,205.095505,9041990,
10-03-2011,219.199997,221.5,218.235001,220.839996,205.313995,7470310,
11-03-2011,218.205002,221.699997,217.5,218.634995,203.263992,6553950,
14-03-2011,217.199997,221.899994,217.199997,221.475006,205.904327,6541440,
15-03-2011,217,220.770004,213,218.464996,203.105957,13801000,
16-03-2011,219.600006,220.5,217.860001,218.375,203.022293,5805340,
17-03-2011,217.020004,223.300003,216.615005,218.149994,202.813126,16760620,
18-03-2011,218,219.619995,214.210007,214.929993,199.819489,4822120,
21-03-2011,217.020004,217.869995,214.645004,215.445007,200.298294,6159350,
22-03-2011,215.910004,217.300003,214.205002,215.160004,200.03331,4715270,
23-03-2011,215,218.190002,214.505005,216.419998,201.204712,4657350,
24-03-2011,217.899994,219.889999,216.850006,219.279999,203.863663,4413810,
25-03-2011,220.699997,227.5,220,226.505005,210.580719,8901480,
28-03-2011,226.5,231.199997,226.5,229.675003,213.527847,10930310,
29-03-2011,231,232.380005,228.464996,230.514999,214.308823,10818300,
30-03-2011,231.5,236.399994,230.600006,234.149994,217.688232,11097420,
31-03-2011,235,239.589996,230.509995,234.585007,218.092667,18931910,
01-04-2011,235.300003,236.5,232.300003,233.375,216.967697,4369290,
04-04-2011,234,240.5,234,240.080002,223.201309,6322270,
05-04-2011,240,240.994995,236.815002,239.574997,222.731857,8412660,
06-04-2011,239.100006,239.5,235.100006,237.595001,220.891037,6469860,
07-04-2011,237.5,237.800003,233.960007,235.475006,218.92009,6558160,
08-04-2011,235.399994,238.5,234.509995,235.240005,218.701614,7720170,
11-04-2011,232.520004,233.755005,228.860001,229.604996,213.462769,11208180,
13-04-2011,227.945007,238.365005,227.5,236.895004,220.24025,9033890,
15-04-2011,237.5,239.199997,234.399994,236.309998,219.696365,8590930,
18-04-2011,237.880005,239.985001,230.434998,231.179993,214.927048,10353270,
19-04-2011,234,235.880005,232.445007,234.75,218.246063,7462430,
20-04-2011,236.054993,238.899994,234.800003,237.195007,220.51918,6548070,
21-04-2011,238.199997,241.690002,238.199997,241.065002,224.117096,16205350,
25-04-2011,242.300003,244.104996,238.600006,239.100006,222.290237,6322870,
26-04-2011,238.654999,239.785004,234.050003,235.985001,219.394226,6321850,
27-04-2011,237.600006,237.899994,232.630005,235.324997,218.78064,7147650,
28-04-2011,236.315002,236.899994,233,233.774994,217.3396,13384820,
29-04-2011,232.5,233.970001,228.100006,229.554993,213.41629,9312940,
02-05-2011,230.600006,231.570007,226.199997,229.014999,212.914261,7078370,
03-05-2011,228.854996,229.565002,222.220001,223.565002,207.847443,10740280,
04-05-2011,224.399994,228.514999,220.779999,226.145004,210.246048,13210610,
05-05-2011,225.585007,227.479996,221,222.044998,206.43428,9349490,
06-05-2011,222.5,232,222.5,229.725006,213.574326,10775730,
09-05-2011,230.199997,231.5,224.839996,227.884995,211.863708,3898590,
10-05-2011,227.800003,227.800003,222.509995,224.639999,208.846832,6523220,
11-05-2011,226,226.889999,222.100006,226.104996,210.208862,4910850,
12-05-2011,225,226.490005,223.5,224.020004,208.270432,4739430,
13-05-2011,223.199997,229,222.585007,225.104996,209.279144,5823070,
16-05-2011,224.5,226.610001,223.630005,225.304993,209.465073,6270620,
17-05-2011,225.199997,227.395004,224.100006,225.244995,209.409302,6111940,
18-05-2011,225.809998,227.770004,224.300003,226.735001,210.79454,6935480,
19-05-2011,227.050003,228.399994,225.770004,227.380005,211.394226,7511270,
20-05-2011,227,232,225.539993,231.570007,215.289627,11913870,
23-05-2011,229.5,229.880005,224.595001,226.470001,210.548203,10046400,
24-05-2011,225.399994,229.25,224.820007,225.529999,209.674255,4502440,
25-05-2011,225,226.699997,224.535004,225.475006,209.623138,4157440,
26-05-2011,225.5,227.699997,224,226.419998,210.501694,9949950,
27-05-2011,226.490005,231.199997,226.255005,230.365005,214.169342,5831020,
30-05-2011,230.399994,232.759995,229.735001,230.759995,214.536591,3924750,
31-05-2011,232.490005,240.869995,231.5,239.955002,223.085144,17696730,
01-06-2011,239,240.699997,237.475006,239.820007,222.959625,6571670,
02-06-2011,235.505005,236.669998,234.5,236.029999,220.956284,6722760,
03-06-2011,235.994995,237.085007,234.850006,235.675003,220.623962,5988530,
06-06-2011,234.529999,239,234.529999,238.125,222.91748,5842800,
